endTime,artistName,trackName,msPlayed,track_id
2020-12-26 06:02,Calle 13,Tango del Pecado (feat. Bajofondo Tango Club & Panasuyo),252510,6SEMpMXnOe9nvei4yk7wb7
2021-01-10 02:15,Keane,Nothing In My Way,20128,7falOwHJ9MjskdcNehIh79
2021-01-11 15:52,Machine Learning en Español,11 Estadística Inferencial,1487699,
2021-01-11 16:08,Machine Learning en Español,12 Árboles de Decisión,748200,
2021-01-11 17:12,Podcast – Capa 8,#00 – ¿Qué pasó con HTML5 Fácil?,231980,
2021-01-11 17:13,Danza Invisible,Agua sin sueño,65107,1vywengPlpJuJggJ9xOUYB
2021-01-11 17:16,No Te Va Gustar,Té para Tres,143769,6hFvPLfbASRL6DsRGCercA
2021-01-11 17:19,Draco Rosa,Obra de Arte (feat. Enrique Bunbury),223981,0UrVpTuaxJ3QSR3TIi0FR9
2021-01-11 17:22,Rebel Cats,La Célula Que Explota,182600,5mB0MGsRfKZALHrXjnktCK
2021-01-11 17:27,Jose Fors,Sera por Eso,268093,0qgDf2H3HHSfiANtWkZPXh
2021-01-11 17:31,Surfistas Del Sistema,Cosmos,269677,211l6gKeErP58kN2gvzuQZ
2021-01-11 17:33,Cuca,Tu Flor,105796,68SbHezGrkZiUtzBE0RhV7
2021-01-11 17:38,Jaguares,Ayer Me Dijo Un Ave,292665,6gpsPg8kaMbc8rcuHw7t1i
2021-01-11 17:39,Draco Rosa,Obra de Arte (feat. Enrique Bunbury),4618,0UrVpTuaxJ3QSR3TIi0FR9
2021-01-11 17:39,Rebel Cats,La Célula Que Explota,2070,5mB0MGsRfKZALHrXjnktCK
2021-01-11 17:39,No Te Va Gustar,Té para Tres,30339,6hFvPLfbASRL6DsRGCercA
2021-01-11 17:39,Jose Fors,Sera por Eso,3154,0qgDf2H3HHSfiANtWkZPXh
2021-01-11 17:40,Surfistas Del Sistema,Cosmos,81497,211l6gKeErP58kN2gvzuQZ
2021-01-11 18:03,Los Romanticos de Zacatecas,Solo Pienso En Eso,172080,7LUBK8EAk4aCYd34CQqXh8
2021-01-12 16:08,Juan Magán,Usted,32366,4af0LFVnJ3tQCWG1Lf8da3
2021-01-12 16:09,Lola Indigo,Mujer Bruja,26550,5bgTRImxKOUU3cwMKE3CAk
2021-01-12 16:11,Denise Rosenthal,Agua Segura,123831,4AB4uQIqE0HajA5yF8HBTS
2021-01-12 16:12,Mala Rodríguez,Contigo,60910,615XWyY2RPfk3iuYcU6qvi
2021-01-12 16:15,Cecilia Krull,Agnus Dei (Banda Sonora Original de la Serie Vis a Vis) - Urban Version,177262,784nbDVm5AcpToGS6k3c7c
2021-01-12 16:16,Romeo Santos,Magia Negra (feat. Mala Rodríguez),51945,6bASrkbE4U2NqxNSgl2Gez
2021-01-12 16:17,Nyno Vargas,TOTO,34720,2374M0fQpWi3dLnB54qaLX
2021-01-12 16:36,Programadores Anónimos,¿Cómo organizar tu entorno de desarrollo local?,1112773,
2021-01-12 20:24,Programadores Anónimos,¿Cómo organizar tu entorno de desarrollo local?,27967,
2021-01-12 20:54,Programadores Anónimos,Esto es lo que pasa durante un proceso de onBoarding,1806641,
2021-01-12 21:04,Programadores Anónimos,Esto es lo que pasa durante un proceso de onBoarding,8698,
2021-01-12 21:08,Moby,Why Does My Heart Feel so Bad? - 2006 Remastered Version,224933,3VhNLgFrwAU1IUpKiiLtu6
2021-01-12 21:14,Massive Attack,Teardrop,330773,67Hna13dNDkZvBpTXRIaOJ
2021-01-12 21:18,M83,Midnight City,243950,6GyFP1nfCDB8lbD2bG0Hq9
2021-01-12 21:21,Charlotte Gainsbourg,Time of the Assassins,164852,7yjKbkAGCIUbTCSmLGXRwM
2021-01-12 21:25,Franz Ferdinand,Take Me Out,237026,20I8RduZC2PWMWTDCZuuAN
2021-01-12 21:29,Portishead,All Mine,240640,3U21A07gAloCc4P7J8rxcn
2021-01-12 22:25,Massive Attack,Girl I Love You,158023,3zkPvQZx6ZflYZtw6PZ82X
2021-01-13 00:23,KAROL G,BICHOTA,178946,7vrJn5hDSXRmdXoR30KgF1
2021-01-13 00:26,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),204466,4vUmTMuQqjdnvlZmAH61Qk
2021-01-13 00:29,Danna Paola,Mala Fama,182466,2D9itdl85AQVNpTfrxvUGj
2021-01-13 00:33,Sebastian Yatra,Runaway,200693,0TCmhnbMpw5zwPsTvlXTJi
2021-01-13 00:36,Camilo,Tutu,178613,1nocRtwyNPVtGcIJqfgdzZ
2021-01-13 00:39,KAROL G,"Ay, DiOs Mío!",189653,7x4ASXYEKfQBCewcZhK776
2021-01-13 00:42,Dua Lipa,Physical,193829,1Vux281qOqFg6lvDqZDd5b
2021-01-13 00:45,Alan Walker,"Alone, Pt. II",179052,0bMbDctzMmTyK2j74j3nF3
2021-01-13 00:49,Dimitri Vegas & Like Mike,Boomshakalaka,211920,4yb5Z9dwnKhO9gC0AZQYDe
2021-01-13 00:52,Danna Paola,Sodio,186946,7jYZU1CIruZU3puB5tiYiW
2021-01-13 00:55,Black Eyed Peas,GIRL LIKE ME,222522,1zLBsSVxETQOfINOLYvT5m
2021-01-13 00:57,Shawn Mendes,Nervous,78018,113xf7t4qNM7038YJvauik
2021-01-13 01:01,Heroes Del Silencio,Virus,276973,6GLzN6o2fkOupy8e1vGzwp
2021-01-13 01:06,Heroes Del Silencio,Babel,264573,6b8VuRQmxLjUM4KvqpuYOP
2021-01-13 01:10,Heroes Del Silencio,...Y para siempre,225226,6D7gPrYpET9NhpowaUFT2E
2021-01-13 01:13,Heroes Del Silencio,Medicina húmeda,181320,6MnOGlJkoOKRrkVnzw2dcE
2021-01-13 01:15,Heroes Del Silencio,El cuadro,159213,4NqE2hU5HW6tTkYGd4qpgu
2021-01-13 01:16,Heroes Del Silencio,No más lágrimas - Live,24407,4V0Ta8BzcGhF8L9QE22Tfv
2021-01-13 01:19,Lenny Kravitz,Are You Gonna Go My Way,211933,45Ia1U4KtIjAPPU7Wv1Sea
2021-01-13 01:20,The Glorious Sons,S.O.S. (Sawed Off Shotgun),29525,7BPCF0Q5xcZFzIemLlKph5
2021-01-13 01:23,Alex O'aiza,Hazy,182129,0P2vAvvWni2tNXOdbH3JFk
2021-01-13 01:24,Red Hot Chili Peppers,Can't Stop,78479,3ZOEytgrvLwQaqXreDs2Jx
2021-01-13 01:27,The Black Keys,Lonely Boy,193653,5G1sTBGbZT5o4PNRc75RKI
2021-01-13 01:56,Jimmy Eat World,Futures,210986,6pfjJTbnZ8hIRuppbLhvVu
2021-01-14 16:58,Massive Attack,Girl I Love You,168864,3zkPvQZx6ZflYZtw6PZ82X
2021-01-14 17:01,Julieta Venegas,Me Voy,187520,100Tm6z29RfHTdUQ6NIs0s
2021-01-14 17:05,Heroes Del Silencio,No más lágrimas - Live,216586,4V0Ta8BzcGhF8L9QE22Tfv
2021-01-14 17:09,Mon Laferte,Antes De Ti,242231,23R68uWGdp07SwQdK8mWzI
2021-01-14 17:13,Carla Morrison,Devuélvete,237588,2P9btUo64dUX7XFKgLpJBX
2021-01-14 17:17,Ska-P,Welcome to Hell,251426,19ahiGWe3qnGCEIxNWPa6I
2021-01-14 17:22,Bunbury,Los inmortales,278314,72uKg8NvN1iPadOxwowWOP
2021-01-14 17:23,Hombres G,Si no te tengo a ti,63527,6IeJcGYibtUKl9QnAupnYi
2021-01-14 17:26,Julieta Venegas,Sería Feliz,204660,5vXjOa8QLl65Yoof3bG2C4
2021-01-14 17:30,Heroes Del Silencio,La chispa adecuada,257092,4vkSJSyPddHwL7v3l1cuRf
2021-01-14 17:31,Danna Paola,Mala Fama,20131,2D9itdl85AQVNpTfrxvUGj
2021-01-14 17:35,Mon Laferte,Tu Falta De Querer,278501,4skuEIloXWuxxgekKupkEH
2021-01-14 17:38,Paty Cantú,Cuando Vuelvas,4390,2JQlgHmNmsi3YpWH0qVhAu
2021-01-14 17:38,Monsieur Periné,La Ciudad,126899,0IrKbfhVKW0xpPEzRDeSUb
2021-01-14 17:43,Carla Morrison,Vez Primera,301094,1HHrKdtzQp36XsJvjalVst
2021-01-14 17:46,Mon Laferte,Mi Buen Amor,227586,28UP90XhjCovLtieduYr9P
2021-01-14 17:52,Carla Morrison,Todo Pasa,344995,2S3Y5RJ0qKLg47jAhkcisO
2021-01-14 17:57,Miguel Bosé,Si tú no vuelves,278269,1YFBO31kSEYo1DVkjSj8LG
2021-01-14 18:01,Ska-P,Mis Colegas,250961,0p3rxgmQPN5y6QEMzliGZc
2021-01-14 18:05,Julieta Venegas,Sin Documentos,228671,6mOZfn6CVXsX1Tt0l3thm3
2021-01-14 18:09,Heroes Del Silencio,Maldito duende,253186,7vcDJCAO356RYkCfiUozmE
2021-01-14 18:10,Carla Morrison,No Me Llames,75967,69yC6Eo135pkCgfS4ImRUG
2021-01-14 18:11,Danna Paola,Sodio,65450,7jYZU1CIruZU3puB5tiYiW
2021-01-14 18:15,Mon Laferte,Amor Completo,241853,00kIWJu9IHiQ6i0qJAU0Z9
2021-01-14 18:27,Ska-P,Mestizaje,45686,2FtUCcJTBE2bb0mdZtzlFI
2021-01-14 20:40,Ska-P,Mestizaje,5626,2FtUCcJTBE2bb0mdZtzlFI
2021-01-14 20:46,Heroes Del Silencio,El camino del exceso - 2012 Remastered Version,338533,3RazmaCGFiOkLQJW1uOjyU
2021-01-14 20:46,Julieta Venegas,Te Voy a Mostrar,1030,6bxZEPqWc9oSqYBa1NgA7d
2021-01-14 20:50,Julieta Venegas,Te Voy a Mostrar,196874,6bxZEPqWc9oSqYBa1NgA7d
2021-01-14 20:53,Duncan Dhu,En algún lugar,235626,3UIENhLRdFIOuRan92cAQu
2021-01-14 20:57,Julieta Venegas,De Mis Pasos,198560,2meVfM6TuffeHGh8SuHShQ
2021-01-14 20:57,Maná,Se Me Olvidó Otra Vez - (Unplugged) [2020 Remasterizado],13437,3S2ypj6FSu07jVKFSTAUjm
2021-01-14 21:01,Heroes Del Silencio,Oración,248586,62qJJckOcu92deFFHknyMK
2021-01-14 21:02,Monsieur Periné,Año Bisiesto,2433,0CZw3uGsJlELOY5H9pTg3Y
2021-01-14 21:02,Carla Morrison,Disfruto - Audioiko Remix,53409,4hjUyt9Dr1VN5LBtBBM2W2
2021-01-14 21:06,Hombres G,Chico tienes que cuidarte,245000,1gNb7lm1gpL374dBdKAK3R
2021-01-14 21:12,Bunbury,Lady Blue,329666,492aSGsuE0dOOBKB66781Z
2021-01-14 21:13,Molotov,Dance And Dense Denso,112478,3ej4dd7q7Q3IjFiQIOHgSm
2021-01-14 21:16,Ragazzi,Veneno,119965,19vrzibX1lFlT2V2ToVQkv
2021-01-14 21:19,Café Tacvba,Puntos Cardinales,224290,0xNlMVUFzsTFRS9tTuZsxo
2021-01-14 21:57,Jarabe De Palo,El lado oscuro,252060,3AR1c3Dssq51WlGGkuYJNj
2021-01-15 15:23,Alan Silvestri,Portals,43451,0OVtnS3l4vThGxkdqCxN6K
2021-01-15 15:25,JAM Project,THE HERO !! 〜怒れる拳に火をつけろ〜,16313,4YycgLIc3P6oQRY5NiOybl
2021-01-15 15:25,Balthazar,Fever,115730,4C1Smq2t3MVOPzsUPWW0oX
2021-01-15 15:29,Christian Löffler,Ry - Edit,220011,3Tc6x9waprUmAwaOjEIWEa
2021-01-15 15:35,Paul Kalkbrenner,Align the Engine,346986,0X8dOZTYMAGKfnjrxSEwsn
2021-01-15 15:40,Marek Hemmann,Zunder,306969,10Sp3ZHJUkSoYCN9NZO7QL
2021-01-15 15:46,Paul Kalkbrenner,Azure,364043,2ONRGfF4fCv8ht4zKV0GRb
2021-01-15 15:53,Fritz Kalkbrenner,Grove,427138,5fdNHVZHbWB1AaXk4RBGVD
2021-01-15 16:01,Enui,Vanishing,488038,0aImQQCR20G0KZu9OtoLSJ
2021-01-15 17:26,Erman Erim,Slave to Our Happiness,69271,6YrYyoIObur2NhVlC8giJc
2021-01-15 18:07,Erman Erim,Slave to Our Happiness,326223,6YrYyoIObur2NhVlC8giJc
2021-01-15 18:13,Egopusher,Patrol,334136,0y6kdSRCVQhSsHSpWvTUm7
2021-01-15 18:21,Paul Kalkbrenner,Align the Engine,346986,0X8dOZTYMAGKfnjrxSEwsn
2021-01-15 18:26,Marek Hemmann,Zunder,306922,10Sp3ZHJUkSoYCN9NZO7QL
2021-01-15 19:02,Erman Erim,Slave to Our Happiness,162930,6YrYyoIObur2NhVlC8giJc
2021-01-16 00:45,Bunbury,N.O.M.,343265,74MgX7tbR2U684vEMWvB1a
2021-01-16 00:50,Bunbury,El día de mañana,299721,2Jh5S3m3jBNoyDZGiX2to8
2021-01-16 00:54,Bunbury,El precio que hay que pagar,214784,6RlDtnpeS9KO2dm09CK3ME
2021-01-16 00:58,Bunbury,El momento de aprovechar el momento,263047,2I9JtgK8GsSLdlQJRjE3FZ
2021-01-16 01:03,Bunbury,Malditos charlatanes,295932,5f3cofM2DFzt7PPwI93eKQ
2021-01-16 01:07,Bunbury,Tsunami,227981,4vZPrtFkWlcD62Zo7fPPP9
2021-01-16 01:19,The Killers,When You Were Young,220426,70wYA8oYHoMzhRRkARoMhU
2021-01-16 01:23,Rival Sons,Keep on Swinging,239413,2cunU1QCSLVf1fm9YZyD1I
2021-01-16 01:28,Daniel Pearson,Before We Go,254668,2g7OV6AjOo30HBnzbTzEGo
2021-01-16 01:32,Red Hot Chili Peppers,Give It Away,282906,0uppYCG86ajpV2hSR3dJJ0
2021-01-16 01:36,Eddie And The Getaway,Something To Believe In,199551,7kMnqTDJm3aPibKgz46eLe
2021-01-16 01:39,Alex O'aiza,Out of My Mind,189437,01UeBfllW39eaKdiCw556R
2021-01-16 01:41,The Vines,Ride,156213,2Z8WuEywRWYTKe1NybPQEW
2021-01-16 01:45,Soundgarden,Been Away Too Long,216213,3W0fjPSYTOS4WnGt3Z1c9M
2021-01-16 01:48,Jimmy Eat World,Bleed American,181493,61XspFITuKmAlYdQacNCbF
2021-01-16 01:51,Beastie Boys,Sabotage,178440,0Puj4YlTm6xNzDDADXHMI9
2021-01-16 03:54,Blackbird Sons,Dance with the Devil,95396,10ASBwZsp7oUUDsJEYz3uS
2021-01-16 06:13,Bunbury,El pálido punto azul,3446,6Jw1uwnj1amSt78BJH90C2
2021-01-17 16:33,Bunbury,El pálido punto azul,238996,6Jw1uwnj1amSt78BJH90C2
2021-01-17 16:35,Heroes Del Silencio,Entre dos tierras - Remaster 2018,7276,4rA6G7E7EAbp40noWToeIJ
2021-01-17 16:35,Bunbury,Tabú,13120,471HeGJPKw07MObixON0Um
2021-01-17 16:35,Bunbury,Tabú,106306,471HeGJPKw07MObixON0Um
2021-01-17 16:39,Bunbury,Indeciso o no,220394,1dtfXTDkhlO7MkSAzobLOP
2021-01-17 16:43,Jaguares,Detras De Los Cerros,238360,2ype6DLvWvW3NdSzDi8Dk2
2021-01-17 16:45,Salon Victoria,Corazón Contento,82995,0qdx92wIToNrAAlILjEq0r
2021-01-17 16:45,Daddy Yankee,"Lo Que Pasó, Pasó",42880,26QKsGW4hMuwiEE1ftUMHe
2021-01-17 16:48,Los Pandilleros,Soy Pandillero,148910,5xeZDsYEOaBWAAFexDACba
2021-01-18 07:10,Bunbury,El cielo está dentro de mí (feat. Charlie Musselwhite),2830,2MmsRpnwnIGrFG2MFKS4Ah
2021-01-18 22:01,Moby,We Are All Made of Stars - 2006 Remastered Version,216782,3g2YJT7r5wWihY56VQQRqb
2021-01-18 22:09,Massive Attack,Paradise Circus,487574,7nVhJiv6gDYVFQxNuku9Eq
2021-01-18 22:13,Portishead,All Mine,240640,3U21A07gAloCc4P7J8rxcn
2021-01-18 22:16,Charlotte Gainsbourg,Trick Pony,171875,52jUZLjWkMbvMSCeHCPCQv
2021-01-18 22:18,The xx,Intro,127920,2usrT8QIbIk9y0NEtQwS4j
2021-01-18 22:22,Goldfrapp,Lovely Head,229826,2YxXBLWd39JelHf6LhxZ2o
2021-01-18 22:25,Moby,This Wild Darkness - Edit,200741,5ivnEtHX6OExzDKUWA4AE1
2021-01-18 23:00,Massive Attack,Karmacoma,316440,46bTgJAQkrkNRxMuFnpRyD
2021-01-19 00:21,Kings of Convenience,I'd Rather Dance With You,9678,4hGOhC87bn7JBdYykOJJvJ
