name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Somos Coyotes,0.62,0.832,5,-5.526,0,0.0361,0.00106,3.24E-06,0.096,0.548,105.998,audio_features,0RGuPZmtJxMblQwZIvcNsQ,spotify:track:0RGuPZmtJxMblQwZIvcNsQ,https://api.spotify.com/v1/tracks/0RGuPZmtJxMblQwZIvcNsQ,https://api.spotify.com/v1/audio-analysis/0RGuPZmtJxMblQwZIvcNsQ,222185,4
Head & Heart (feat. MNEK),0.734,0.874,8,-3.158,1,0.0662,0.168,1.14E-05,0.0489,0.905,122.953,audio_features,6cx06DFPPHchuUAcTxznu9,spotify:track:6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/tracks/6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/audio-analysis/6cx06DFPPHchuUAcTxznu9,166028,4
John Travolta - Greased Lightnin',0.521,0.879,0,-9.269,1,0.0549,0.0605,0.289,0.138,0.934,158.582,audio_features,4S9RHp3Ge0xepqcixPQ6Fc,spotify:track:4S9RHp3Ge0xepqcixPQ6Fc,https://api.spotify.com/v1/tracks/4S9RHp3Ge0xepqcixPQ6Fc,https://api.spotify.com/v1/audio-analysis/4S9RHp3Ge0xepqcixPQ6Fc,196933,4
"Averno, el Fantasma",0.554,0.92,4,-5.278,0,0.0391,0.0453,0.0213,0.212,0.893,154.922,audio_features,5437hFrcf4td0gyxvuJB8d,spotify:track:5437hFrcf4td0gyxvuJB8d,https://api.spotify.com/v1/tracks/5437hFrcf4td0gyxvuJB8d,https://api.spotify.com/v1/audio-analysis/5437hFrcf4td0gyxvuJB8d,264827,4
Gamma Sinus 120 Hz - 170 Hz,0.148,0.0294,3,-30.99,1,0.0518,0.913,0.477,0.111,0.0399,139.067,audio_features,3qdY0cHqy1YsvwIBu691j4,spotify:track:3qdY0cHqy1YsvwIBu691j4,https://api.spotify.com/v1/tracks/3qdY0cHqy1YsvwIBu691j4,https://api.spotify.com/v1/audio-analysis/3qdY0cHqy1YsvwIBu691j4,208794,4
"Galaxie / Hello, Goodbye",0.459,0.556,0,-7.98,1,0.0348,0.194,0.000127,0.153,0.697,100.007,audio_features,7iggXRD8XULv2nw4NjkIjZ,spotify:track:7iggXRD8XULv2nw4NjkIjZ,https://api.spotify.com/v1/tracks/7iggXRD8XULv2nw4NjkIjZ,https://api.spotify.com/v1/audio-analysis/7iggXRD8XULv2nw4NjkIjZ,211000,4
Cherry Pie,0.472,0.946,2,-4.591,1,0.145,0.0372,0,0.352,0.486,177.489,audio_features,7LygtNjQ65PSdzVjUnHXQb,spotify:track:7LygtNjQ65PSdzVjUnHXQb,https://api.spotify.com/v1/tracks/7LygtNjQ65PSdzVjUnHXQb,https://api.spotify.com/v1/audio-analysis/7LygtNjQ65PSdzVjUnHXQb,201027,4
Truly Yours,0.348,0.0102,0,-37.244,1,0.0625,0.99,0.95,0.0985,0.0853,67.544,audio_features,0G1cg2Ezj39U7GI5K0A7ia,spotify:track:0G1cg2Ezj39U7GI5K0A7ia,https://api.spotify.com/v1/tracks/0G1cg2Ezj39U7GI5K0A7ia,https://api.spotify.com/v1/audio-analysis/0G1cg2Ezj39U7GI5K0A7ia,185775,4
Bodies,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,audio_features,7CpbhqKUedOIrcvc94p60Y,spotify:track:7CpbhqKUedOIrcvc94p60Y,https://api.spotify.com/v1/tracks/7CpbhqKUedOIrcvc94p60Y,https://api.spotify.com/v1/audio-analysis/7CpbhqKUedOIrcvc94p60Y,201960,4
Al Pasar,0.7,0.485,8,-8.93,1,0.0357,0.012,1.08E-05,0.1,0.962,132.215,audio_features,31T5cWFYgDSSo4uPQWc1Iy,spotify:track:31T5cWFYgDSSo4uPQWc1Iy,https://api.spotify.com/v1/tracks/31T5cWFYgDSSo4uPQWc1Iy,https://api.spotify.com/v1/audio-analysis/31T5cWFYgDSSo4uPQWc1Iy,206827,4
